name,geo3x3,category,description,model,URL
FREE,E913873229359143,ラーメン,深夜2時まで！,,https://www.fukuishimbun.co.jp/feature/fu/gourmet?id=59e9970e77656121e0000000
DOPEMEN NOPEMEN,E913873229355336,ラーメン,2023/10/14 11時オープン！,,https://www.instagram.com/dopemen_nopemen/
魂心家 鯖江店,E913873234564187,ラーメン,横浜家系ラーメン,,http://www.konshinya.com/shop/sabae.html
8番らーめん 鯖江店,E913873237326233,ラーメン,北陸に来たら8番らーめん,,https://www.hachiban.jp/
